"","Z_SCORE"
"176",-0.290047662195153
"177",-0.211812679648345
"178",0.553020673550345
"179",-0.425005022603009
"180",-0.781191321870919
"181",-0.960892498902371
"182",0.352246557223977
"183",-0.981629264490096
"184",-0.39503997809293
"185",0.00805711787798951
"186",-0.654614254609203
"187",-0.402314800956025
"188",0.147374104335511
"189",-1.60820976007709
"190",-0.447199357145577
"191",0.212778423751777
"192",-0.136849772701829
"193",-0.296932548118105
"194",-0.290395611858442
"195",0.107983686359465
"196",-0.504922935332209
"197",-1.24622972794777
"198",-1.42442216019703
"199",0.616688292416191
"200",-0.622074856444217
"201",-0.437964646568614
"202",-0.0735628801519759
"203",-0.0595876956644601
"204",-0.993631074542214
"205",-1.06851925387852
"206",0.121825842950753
"207",-0.491008462756279
"208",0.663021748622653
"209",0.142041989402028
"210",-1.35306403162351
"211",0.296402415815803
"212",-0.509208151479654
"213",0.537162929181513
"214",-1.09332763186191
"215",-1.05755173573195
"216",-0.0166230081069509
"217",0.220081062894409
"218",-0.946770622772903
"219",0.0663704246388945
"220",-0.243102163139123
"221",0.000792175238775419
"222",-0.341741971462003
"223",-0.145546577405831
"224",-1.01799226355249
"225",-0.523423742326916
"226",-0.39769326947901
"227",0.0886870890500445
"228",0.260740982221073
"229",0.926535162743436
"230",-0.459177592719393
"231",0.492278721223732
"232",0.174172978607599
"233",-0.45628134329702
"234",-0.948546358311792
"235",-0.0880046385446283
"236",-1.82249077188615
"237",0.0325873504921612
"238",-0.748593122761073
"239",0.479474169139307
"240",1.09898322282996
"241",-0.855989878928356
"242",-0.47018620072626
"243",0.220555093614708
"244",0.490979756144283
"245",0.272297717980716
"246",0.0395671460754176
"247",-0.769591842169106
"248",-1.37058119554248
"249",0.510071943114826
"250",-0.719270742155615
"251",-0.648101795897031
"252",0.989173138293854
"253",-0.861089321700068
"254",0.606441945376532
"255",-0.19631019703618
"256",-0.0485163601835401
"257",-0.101536114862831
"258",-0.399735471917414
"259",-0.455757226795503
"260",0.918927547451696
"261",0.279222640741615
"262",0.954454102841539
"263",-0.536925002737023
"264",-0.487339225683252
"265",0.174930855436951
"266",-0.773038040933744
"267",0.113294348347701
"268",-0.228004378124009
"269",0.654058953402043
"270",-0.740826718850574
"271",-0.138021844880738
"272",-1.03698334791128
"273",-0.682118720878546
"274",-0.545653979174602
"275",0.194909681526576
"276",0.222749709474877
"277",-0.537203282984486
"278",0.337987209642643
"279",0.368102995130228
"280",-0.64826947110893
"281",-1.21118138924867
"282",-0.615182375710755
"283",-2.3888211865306
"284",-0.631458561613769
"285",0.0622695276869255
"286",-0.689378653445398
"287",-0.475099245263579
"288",-0.47587443769127
"289",-0.0476481691160268
"290",-0.410808173942855
"291",0.361865810062151
"292",0.511608417146222
"293",-0.0493703742860357
"294",-0.709353892565185
"295",0.63468940025578
"296",-0.00507432621656925
"297",0.450437468940352
"298",-0.653580740416446
"299",-0.23976083991242
"300",-0.526708047338863
"301",0.144288180501171
"302",0.0710829162726468
"303",0.441394662928021
"304",0.410570728571864
"305",-0.0828148130324114
"306",0.274202008473283
"307",-0.00768783286255797
"308",-0.567574507934624
"309",-0.459114047957122
"310",-0.281534174550974
"311",0.797592312090465
"312",-0.0453188106980872
"313",0.797828276663976
"314",0.207817115033955
"315",0.101341646421906
"316",0.885604474754396
"317",1.46564770278873
"318",1.06413402150617
"319",-0.0789674558987285
"320",-0.470036155589428
"321",-0.26050564303453
"322",1.58184559139685
"323",0.704016782029314
"324",0.790180108973523
"325",1.60914180926395
"326",-0.386884988823761
"327",0.900756456356483
"328",0.978319909376778
"329",0.0983003959966405
"330",0.400190157226702
"331",0.499614187847823
"332",0.930723273985163
"333",0.981182681694872
"334",0.175115852982392
"335",-0.0116529016316892
"336",-1.11949515463108
"337",0.503153320291683
"338",-0.392518188646095
"339",-0.676323090784015
"340",-0.708592189621885
"341",-0.47304761428989
"342",0.467489545602566
"343",0.603454582835934
"344",-0.2570511517441
"345",1.13407981040075
"346",0.918955685642823
"347",-0.588199154503019
"348",1.0603632448345
"349",1.06025088667897
"350",-1.37828848285877
"351",0.570463186773015
"352",0.310566026723562
"353",-0.03604886474367
"354",-0.81230337749787
"355",0.850850025002735
"356",0.478056462645659
"357",-0.151305230596892
"358",-0.417162947586932
"359",0.923198995404459
"360",-1.1193320740576
"361",0.20594669920257
"362",0.546267289589722
"363",0.908901353789544
"364",0.673932330535737
"365",0.255339473311531
"366",0.138150382662095
"367",0.746608062821723
"368",1.03560529328136
"369",0.617796746526683
"370",0.617408414604238
"371",-0.874615748301345
"372",0.699132757648211
"373",-0.663485166331634
"374",-0.327703940852766
"375",0.619494145227541
"376",0.211061331620819
"377",-0.211182158061101
"378",-0.453352248155149
"379",1.05631596510233
"380",-0.0649709934359431
"381",0.8853421179034
"382",0.853877384287918
"383",0.186581383089228
"384",0.526036932801801
"385",-0.377250885989312
"386",1.83452155615847
"387",0.0635581857403625
"388",0.438561836126219
"389",0.346487155618757
"390",0.13337436150336
"391",-0.572894328748643
"392",0.428059599454474
"393",0.159226153637865
"394",-0.0423545512679766
"395",0.576134747039175
"396",0.736238231731232
"397",-0.700847262032466
"398",0.375920735934899
"399",0.371323753497882
"400",-0.219130051503588
"401",0.2357790196563
"402",0.53978889046678
"403",0.192970783354342
"404",1.14002961807918
"405",0.467800118287418
"406",-0.460731995499384
"407",-0.141604672820734
"408",0.606637420069733
"409",0.157422067972502
"410",0.518952413155493
"411",-0.713796396344825
"412",1.2170097933217
"413",1.1441823020053
"414",0.925600475385663
"415",-0.606506874014318
"416",-0.101552100212005
"417",-0.617775680040786
"418",-0.889263413214502
"419",1.57792806696379
"420",0.568855255106456
"421",-0.748342743228323
"422",-1.06945355092999
"423",-0.670156903917929
"424",-0.705001403426614
"425",-0.496415990999258
"426",-0.150157535700537
"427",0.897592635198029
"428",0.601448058252433
"429",-0.422759607632804
"430",1.36322566453595
